name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
Upwey,6964,205410019,Q7899493,"en:Upwey, Victoria",,6735419.263,673.5419263,14366.58375
Aintree,,425652793,Q28942236,"en:Aintree, Victoria",,6764040.298,676.4040298,11783.18411
Dewhurst,164,205409995,Q5268230,"en:Dewhurst, Victoria",,6784512.722,678.4512722,14897.93665
Lower Plenty,3891,205409993,Q6693710,"en:Lower Plenty, Victoria",,6827843.081,682.7843081,15826.87044
Roxburgh Park,19235,205409997,Q7372398,"en:Roxburgh Park, Victoria",,6853793.235,685.3793235,11058.97696
Coburg,26185,205409989,Q647356,"en:Coburg, Victoria",,6944501.574,694.4501574,11741.98586
Heatherton,2907,205409987,Q5694243,"en:Heatherton, Victoria",,6967570.655,696.7570655,12125.2832
Wattle Glen,1961,205409897,Q7974976,"en:Wattle Glen, Victoria",,7017136.826,701.7136826,17529.18064
Kalkallo,105,205409984,Q6353350,"en:Kalkallo, Victoria",,7020132.004,702.0132004,11914.61524
Nutfield,152,205409983,Q7070439,"en:Nutfield, Victoria",,7032250.225,703.2250225,14498.88124
Sorrento,,205409982,Q3375047,"en:Sorrento, Victoria",,7033140.55,703.314055,15808.70254
Rockbank,1536,205408959,Q7354966,"en:Rockbank, Victoria",,7270018.815,727.0018815,11715.54533
Avonsleigh,852,205409963,Q4829362,"en:Avonsleigh, Victoria",,7361776.31,736.177631,13810.08961
Keilor North,67,205409968,Q14935177,"en:Keilor North, Victoria",,7376285.464,737.6285464,21133.06274
Menzies Creek,998,205409965,Q6817713,"en:Menzies Creek, Victoria",,7473261.964,747.3261964,15893.22117
Taylors Lakes,15519,205409967,Q14935294,"en:Taylors Lakes, Victoria",,7510884.174,751.0884174,13646.46318
Camberwell,52285,205409959,Q2934668,"en:Camberwell, Victoria",,7554477.219,755.4477219,15281.47931
Grangefields,,425650134,Q28942248,"en:Grangefields, Victoria",,7568205.688,756.8205688,15319.78539
Malvern East,21707,205409960,Q6745056,"en:Malvern East, Victoria",,7723100.735,772.3100735,15025.32582
Dingley Village,10320,205409949,Q5278238,"en:Dingley Village, Victoria",,7839838.655,783.9838655,11496.75099
Clayton,19358,205409950,Q5130161,"en:Clayton, Victoria",,7891683.16,789.168316,14365.77286
Broadmeadows,11970,205409926,Q4972237,"en:Broadmeadows, Victoria",,7913948.689,791.3948689,16039.82175
Thornhill Park,,425649319,Q28942252,"en:Thornhill Park, Victoria",,7915472.228,791.5472228,13558.82993
Tullamarine,6605,205409969,Q1521059,"en:Tullamarine, Victoria",,7928169.386,792.8169386,19038.62604
Sunshine North,11700,205409948,Q7641541,"en:Sunshine North, Victoria",,8015926.808,801.5926808,11686.50719
Bayswater,11758,205409951,Q812628,"en:Bayswater, Victoria",,8038748.687,803.8748687,14816.42877
Deer Park,18126,205409916,Q5250802,"en:Deer Park, Victoria",,8083463.99,808.346399,15062.53262
Cannons Creek,647,205409940,Q5032842,"en:Cannons Creek, Victoria",,8188010.668,818.8010668,19038.75956
Hillside,17056,205409937,Q5763864,"en:Hillside, Victoria",,8200949.877,820.0949877,12286.33337
